"Notes"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Alabama"	"01"	"1990"	"1990"	4050055
	"Alabama"	"01"	"1991"	"1991"	4099156
	"Alabama"	"01"	"1992"	"1992"	4154014
	"Alabama"	"01"	"1993"	"1993"	4214202
	"Alabama"	"01"	"1994"	"1994"	4260229
	"Alabama"	"01"	"1995"	"1995"	4296800
	"Alabama"	"01"	"1996"	"1996"	4331102
	"Alabama"	"01"	"1997"	"1997"	4367935
	"Alabama"	"01"	"1998"	"1998"	4404701
	"Alabama"	"01"	"1999"	"1999"	4430141
	"Alabama"	"01"	"2000"	"2000"	4452173
	"Alabama"	"01"	"2001"	"2001"	4467634
	"Alabama"	"01"	"2002"	"2002"	4480089
	"Alabama"	"01"	"2003"	"2003"	4503491
	"Alabama"	"01"	"2004"	"2004"	4530729
	"Alabama"	"01"	"2005"	"2005"	4569805
	"Alabama"	"01"	"2006"	"2006"	4628981
	"Alabama"	"01"	"2007"	"2007"	4672840
	"Alabama"	"01"	"2008"	"2008"	4718206
	"Alabama"	"01"	"2009"	"2009"	4757938
	"Alabama"	"01"	"2010"	"2010"	4785492
	"Alabama"	"01"	"2011"	"2011"	4799918
	"Alabama"	"01"	"2012"	"2012"	4815960
	"Alabama"	"01"	"2013"	"2013"	4829479
	"Alabama"	"01"	"2014"	"2014"	4843214
	"Alabama"	"01"	"2015"	"2015"	4853875
	"Alabama"	"01"	"2016"	"2016"	4863300
	"Alaska"	"02"	"1990"	"1990"	553290
	"Alaska"	"02"	"1991"	"1991"	570193
	"Alaska"	"02"	"1992"	"1992"	588736
	"Alaska"	"02"	"1993"	"1993"	599432
	"Alaska"	"02"	"1994"	"1994"	603308
	"Alaska"	"02"	"1995"	"1995"	604412
	"Alaska"	"02"	"1996"	"1996"	608569
	"Alaska"	"02"	"1997"	"1997"	612968
	"Alaska"	"02"	"1998"	"1998"	619932
	"Alaska"	"02"	"1999"	"1999"	624779
	"Alaska"	"02"	"2000"	"2000"	627963
	"Alaska"	"02"	"2001"	"2001"	633714
	"Alaska"	"02"	"2002"	"2002"	642337
	"Alaska"	"02"	"2003"	"2003"	648414
	"Alaska"	"02"	"2004"	"2004"	659286
	"Alaska"	"02"	"2005"	"2005"	666946
	"Alaska"	"02"	"2006"	"2006"	675302
	"Alaska"	"02"	"2007"	"2007"	680300
	"Alaska"	"02"	"2008"	"2008"	687455
	"Alaska"	"02"	"2009"	"2009"	698895
	"Alaska"	"02"	"2010"	"2010"	714031
	"Alaska"	"02"	"2011"	"2011"	722713
	"Alaska"	"02"	"2012"	"2012"	731089
	"Alaska"	"02"	"2013"	"2013"	736879
	"Alaska"	"02"	"2014"	"2014"	736705
	"Alaska"	"02"	"2015"	"2015"	737709
	"Alaska"	"02"	"2016"	"2016"	741894
	"Arizona"	"04"	"1990"	"1990"	3684097
	"Arizona"	"04"	"1991"	"1991"	3788576
	"Arizona"	"04"	"1992"	"1992"	3915740
	"Arizona"	"04"	"1993"	"1993"	4065440
	"Arizona"	"04"	"1994"	"1994"	4245089
	"Arizona"	"04"	"1995"	"1995"	4432499
	"Arizona"	"04"	"1996"	"1996"	4586940
	"Arizona"	"04"	"1997"	"1997"	4736990
	"Arizona"	"04"	"1998"	"1998"	4883342
	"Arizona"	"04"	"1999"	"1999"	5023823
