state,year,deal_reg,buy_reg,high_risk,bkgrnd_chk,ammo_reg,poss_reg,conceal_reg,assault_mag,child_acc,gun_traff,stnd_grnd,pre_empt,immunity_,dom_viol
Alabama,1999,6,1,1,0,0,0,3,0,0,0,1,1,1,0
Alaska,1999,0,1,1,0,0,1,3,0,0,0,1,0,0,0
Arizona,1999,0,0,4,0,0,1,4,0,0,0,1,0,0,0
Arkansas,1999,0,0,3,0,0,3,5,0,0,0,1,0,0,0
California,1999,12,8,7,11,3,4,6,4,4,5,1,2,0,2
Colorado,1999,1,0,1,0,0,1,2,0,0,0,1,3,1,0
Connecticut,1999,11,5,3,10,0,6,4,4,5,2,1,3,1,6
Delaware,1999,2,1,5,0,1,1,3,0,4,2,1,0,0,2
Florida,1999,1,1,1,0,0,8,3,0,3,2,1,0,1,1
Georgia,1999,2,0,1,0,0,4,3,0,0,0,1,0,0,0
Hawaii,1999,8,15,7,0,1,5,3,0,5,0,1,3,1,6
Idaho,1999,0,0,0,0,0,0,3,0,0,0,1,2,0,0
Illinois,1999,4,5,6,7,3,7,7,0,0,0,1,3,1,4
Indiana,1999,1,0,0,0,0,2,4,0,0,0,1,0,1,0
Iowa,1999,0,4,1,3,2,2,3,0,2,0,1,0,1,0
Kansas,1999,0,0,1,0,0,1,7,0,0,0,1,3,1,0
Kentucky,1999,0,0,1,0,0,1,3,0,0,0,1,0,0,0
Louisiana,1999,0,1,0,0,0,3,4,0,0,0,1,0,0,0
Maine,1999,1,0,2,0,0,1,2,0,0,0,1,0,0,1
Maryland,1999,6,6,4,6,2,3,5,1,6,0,1,0,1,3
Massachusetts,1999,13,10,7,7,6,9,5,4,11,5,1,3,1,6
Michigan,1999,4,6,1,3,0,1,7,0,0,0,1,0,1,0
Minnesota,1999,2,1,6,0,0,3,6,0,6,0,1,0,1,5
Mississippi,1999,0,0,1,0,0,4,3,0,0,0,1,0,1,0
Missouri,1999,0,3,1,3,0,1,7,0,0,0,1,0,1,0
Montana,1999,0,0,0,0,0,1,2,0,0,0,1,0,0,1
Nebraska,1999,0,3,1,2,0,3,7,0,0,1,1,3,1,0
Nevada,1999,0,0,1,0,0,2,3,0,0,0,1,0,0,0
New Hampshire,1999,1,0,0,0,0,0,1,0,0,0,1,3,1,0
New Jersey,1999,7,7,4,5,0,6,7,5,4,0,1,3,1,0
New Mexico,1999,0,0,1,0,0,1,7,0,0,0,1,0,1,0
New York,1999,4,5,8,0,1,5,6,0,0,0,1,3,1,3
North Carolina,1999,1,2,1,4,0,3,3,0,4,0,1,0,1,0
North Dakota,1999,0,0,4,0,0,2,3,0,0,2,1,0,1,0
Ohio,1999,0,3,2,0,0,1,7,0,0,2,1,3,1,1
Oklahoma,1999,0,1,1,0,0,2,4,0,0,0,1,0,0,1
Oregon,1999,3,2,4,0,0,1,4,0,0,0,1,0,1,0
Pennsylvania,1999,8,3,4,6,0,1,5,0,0,0,1,0,0,1
Rhode Island,1999,7,9,5,9,2,3,3,0,3,0,1,0,1,0
South Carolina,1999,3,2,1,0,0,6,4,0,0,0,1,0,1,0
South Dakota,1999,0,0,1,0,0,1,2,0,0,0,1,0,0,0
Tennessee,1999,3,1,0,0,0,5,3,0,0,0,1,0,0,1
Texas,1999,0,1,1,0,0,5,3,0,4,0,1,0,0,0
Utah,1999,0,0,3,0,0,3,3,0,0,2,0,0,1,1
Vermont,1999,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Virginia,1999,1,2,3,0,0,1,4,0,0,2,1,0,1,0
Washington,1999,5,0,4,0,1,2,4,0,0,0,1,0,0,4
West Virginia,1999,1,0,6,0,0,1,3,0,0,0,1,0,1,1
Wisconsin,1999,0,2,3,0,0,2,7,0,2,0,1,0,1,1
Wyoming,1999,0,0,0,0,0,3,4,0,0,0,1,0,1,0
Alabama,2000,5,0,1,0,0,0,3,0,0,0,1,0,0,0
Alaska,2000,0,1,1,0,0,1,3,0,0,0,1,0,0,0
Arizona,2000,0,0,4,0,0,1,4,0,0,0,1,0,0,2
Arkansas,2000,0,0,3,0,0,3,5,0,0,0,1,0,0,0
California,2000,12,8,7,11,3,4,6,7,4,5,1,2,0,4
Colorado,2000,1,0,1,0,0,1,2,0,0,2,1,3,0,0
Connecticut,2000,11,5,3,10,0,6,4,4,5,2,1,3,1,6
Delaware,2000,2,1,5,0,1,1,3,0,4,2,1,0,0,2
Florida,2000,1,1,1,0,0,8,3,0,3,2,1,0,1,1
Georgia,2000,2,0,1,0,0,4,3,0,0,0,1,0,0,0
Hawaii,2000,8,15,7,0,1,5,3,0,5,0,1,3,1,7
Idaho,2000,0,0,0,0,0,1,3,0,0,0,1,2,0,0
Illinois,2000,4,5,6,7,3,7,7,0,2,2,1,3,1,4
Indiana,2000,1,0,0,0,0,2,4,0,0,0,1,0,1,0
Iowa,2000,0,4,1,3,2,2,3,0,2,0,1,0,1,0
Kansas,2000,0,0,1,0,0,1,7,0,0,0,1,3,1,0
Kentucky,2000,0,0,1,0,0,1,3,0,0,0,1,0,0,0
Louisiana,2000,0,1,0,0,0,3,4,0,0,0,1,0,0,0
Maine,2000,1,0,2,0,0,1,2,0,0,0,1,0,0,1
