"Notes"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	10828	279040168	3.9
	"2000"	"2000"	10801	281421906	3.8
	"2001"	"2001"	11348	284968955	4.0
	"2002"	"2002"	11829	287625193	4.1
	"2003"	"2003"	11920	290107933	4.1
	"2004"	"2004"	11624	292805298	4.0
	"2005"	"2005"	12352	295516599	4.2
	"2006"	"2006"	12791	298379912	4.3
	"2007"	"2007"	12632	301231207	4.2
	"2008"	"2008"	12179	304093966	4.0
	"2009"	"2009"	11493	306771529	3.7
	"2010"	"2010"	11078	308745538	3.6
	"2011"	"2011"	11068	311591917	3.6
	"2012"	"2012"	11622	313914040	3.7
	"2013"	"2013"	11208	316128839	3.5
	"2014"	"2014"	11008	318857056	3.5
	"2015"	"2015"	12979	321418820	4.0
	"2016"	"2016"	14415	323127513	4.5
