"Notes"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	16599	279040168	5.9
	"2000"	"2000"	16586	281421906	5.9
	"2001"	"2001"	16869	284968955	5.9
	"2002"	"2002"	17108	287625193	5.9
	"2003"	"2003"	16907	290107933	5.8
	"2004"	"2004"	16750	292805298	5.7
	"2005"	"2005"	17002	295516599	5.8
	"2006"	"2006"	16883	298379912	5.7
	"2007"	"2007"	17352	301231207	5.8
	"2008"	"2008"	18223	304093966	6.0
	"2009"	"2009"	18735	306771529	6.1
	"2010"	"2010"	19392	308745538	6.3
	"2011"	"2011"	19990	311591917	6.4
	"2012"	"2012"	20666	313914040	6.6
	"2013"	"2013"	21175	316128839	6.7
	"2014"	"2014"	21386	318857056	6.7
	"2015"	"2015"	22018	321418820	6.9
	"2016"	"2016"	22938	323127513	7.1
